Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
C1_1	68.10588853513283	48.0	100.0	20.0	42885096.0
C1_2	67.24247100876661	48.0	100.0	20.0	42885096.0
C2_1	68.01257475620507	48.0	100.0	20.0	43008017.0
C2_2	67.71968004494602	48.0	100.0	20.0	43008017.0
C3_1	67.57191578870959	48.0	100.0	20.0	43039075.0
C3_2	67.07879023262446	48.0	100.0	20.0	43039075.0
R1_1	66.84855796696567	48.0	100.0	20.0	42980093.0
R1_2	66.1822688743323	48.0	100.0	20.0	42980093.0
R2_1	67.7092612219279	48.0	100.0	20.0	43063766.0
R2_2	67.85526936838066	48.0	100.0	20.0	43063766.0
R3_1	67.11763470045297	48.0	100.0	20.0	42029312.0
R3_2	66.70851736781376	48.0	100.0	20.0	42029312.0
